"","n","hypothesis","normality","p","mean","BF","Shapiro"
"891",150,"H0",TRUE,0.0882103430680705,1.41108643433648,0.38063348747889,0.261369009490211
"892",15,"H0",FALSE,0.958924935949522,0.113477734356643,0.262671235177199,0.440013500395956
"893",40,"H0",FALSE,0.237234393602609,-1.99457545543515,0.332328451397218,0.024580305824062
"894",150,"H0",FALSE,0.215978709890376,-1.0105337880164,0.193288906201153,3.57742322657054e-07
"895",15,"Ha",TRUE,0.0987333524914725,4.12280272756333,0.91967652906863,0.1791560568918
"896",40,"Ha",TRUE,0.275903401784411,1.79104380261787,0.300641209062685,0.488267113368263
"897",150,"Ha",TRUE,0.000233890614982044,2.9772427510642,71.7791796032516,0.281729978396106
"898",15,"Ha",FALSE,0.0946087543007424,4.26838995704895,0.949032115069196,0.972200408464381
"899",40,"Ha",FALSE,0.0101685954682212,4.04520370579783,4.01917063287818,0.048696114329864
"900",150,"Ha",FALSE,0.000270351273551803,2.95681788371243,62.7767907900561,2.3140480803622e-06
"901",15,"H0",TRUE,0.797281540797924,0.587377907438601,0.270438852465569,0.279007926284033
"902",40,"H0",TRUE,0.127638307878521,2.53821942211635,0.516810801505449,0.508465242688743
"903",150,"H0",TRUE,0.990259143837107,-0.0106101257979559,0.0909561596191037,0.0252421068363775
"904",15,"H0",FALSE,0.667342906028212,0.964406020253965,0.285627918423181,0.0801472687241439
"905",40,"H0",FALSE,0.16614293956053,-2.51346192522286,0.426146494836224,0.0267847589664749
"906",150,"H0",FALSE,0.691092912297723,-0.320208119077419,0.0983032540992559,4.03473171491923e-07
"907",15,"Ha",TRUE,0.293093197684304,2.99974683506752,0.436290930505442,0.389326983840118
"908",40,"Ha",TRUE,0.0180982677664215,3.41404246678622,2.46663297983475,0.266203072073824
